"IWavePhi [deg]","Phase [deg]","Freq [GHz]","IWaveTheta [deg]","L1Vre []","IWaveTheta [deg]","L1Vim []","IWaveTheta [deg]","L2re []","IWaveTheta [deg]","L2Vim []","IWaveTheta [deg]","L3Vre []","IWaveTheta [deg]","L3im []","IWaveTheta [deg]","L4Vre []","IWaveTheta [deg]","L4im []","IWaveTheta [deg]","L5Re []","IWaveTheta [deg]","L5Im []","IWaveTheta [deg]","L6Re []","IWaveTheta [deg]","L6Im []","IWaveTheta [deg]","L7Re []","IWaveTheta [deg]","L7Im []","IWaveTheta [deg]","L8Re []","IWaveTheta [deg]","L8Im []"
0,0,2.36,-60,-0.00926462269798294,-60,0.000770364588837677,-60,0.00646693693102897,-60,0.00568506698545258,-60,-0.00109790631550259,-60,-0.00743126223272082,-60,-0.00140034302059065,-60,0.00759080313993267,-60,0.00350541062263872,-60,-0.0070672005447056,-60,-0.00622634855200097,-60,0.00393303335105131,-60,0.00834514526811619,-60,0.000589851768466352,-60,-0.00954479085537915,-60,0.00375937988810654
0,0,2.36,-55,-0.00882739545274097,-55,0.00650821217478694,-55,0.0100266618383315,-55,0.00301634994389958,-55,-0.00396435254897008,-55,-0.00854404277179966,-55,-0.00050814354739196,-55,0.00998484492331788,-55,0.00472011980979017,-55,-0.00928719605945248,-55,-0.00875084193185376,-55,0.00396188235948507,-55,0.0101233988987885,-55,0.00394259686340689,-55,-0.0135472281047398,-55,-0.00097637731101681
0,0,2.36,-50,-0.00377927665151304,-50,0.0121642904567346,-50,0.0121459810857637,-50,-0.00255706686406982,-50,-0.00796565901850583,-50,-0.00811961949483148,-50,0.00144513052618776,-50,0.0123341278485497,-50,0.00583019212359262,-50,-0.0118961014774844,-50,-0.0114986703807248,-50,0.00361774353195465,-50,0.0104309397942873,-50,0.00842574727736032,-50,-0.0146606944844699,-50,-0.00886859997400312
0,0,2.36,-45,0.00574422983221126,-45,0.0134398906518331,-45,0.0103675053390427,-45,-0.0100389051699014,-45,-0.0121999054433758,-45,-0.00520900521297038,-45,0.00452813544041765,-45,0.0140012786230201,-45,0.00676744735100587,-45,-0.0145947212537342,-45,-0.0142736324778598,-45,0.00261856694622036,-45,0.00829507880151044,-45,0.0132525570760372,-45,-0.00995598296370886,-45,-0.0178676635168099
0,0,2.36,-40,0.015199958472477,-40,0.00645336081588573,-40,0.00314557032337784,-40,-0.0161774825455557,-40,-0.0150394849150315,-40,0.000433115008141776,-40,0.00845863990589596,-40,0.0143490362691973,-40,0.0075472528481137,-40,-0.0169681111396308,-40,-0.0167827933849657,-40,0.000564801090792236,-40,0.00322076019565223,-40,0.0170108011994476,-40,0.00171826101593171,-40,-0.0232245512576608
0,0,2.36,-35,0.0167050968250956,-35,-0.00747753324945729,-35,-0.00804570975335498,-35,-0.0165187950790349,-35,-0.0147485839298508,-35,0.00777213876911438,-35,0.0126473943258727,-35,0.0130777516280532,-35,0.00824328766597078,-35,-0.0187036675577904,-35,-0.0185645975857146,-35,-0.00287208550264399,-35,-0.00425743164874254,-35,0.0179523819814509,-35,0.0170021965979692,-35,-0.0192177013577533
0,0,2.36,-30,0.00540535159193583,-30,-0.0192475660090811,-30,-0.0180212487022043,-30,-0.00849383253283991,-30,-0.0104842890907634,-30,0.0146244574910488,-30,0.0164291659500826,-30,0.0103844862676786,-30,0.00893246226415999,-30,-0.0197637005882018,-30,-0.0189618208853738,-30,-0.00765584144705908,-30,-0.0123067415272044,-30,0.0146620485580878,-30,0.0273542511407683,-30,-0.00367238642650812
0,0,2.36,-25,-0.0129900212465854,-25,-0.0172852191340368,-25,-0.020389331011165,-25,0.00548105562685024,-25,-0.0029582009657298,-25,0.0186497528381317,-25,0.01930967953044,-25,0.00677156207662469,-25,0.00969072995953665,-25,-0.0203126679423475,-25,-0.0172586714207302,-25,-0.0132076741742189,-25,-0.0181437948103809,-25,0.00695322018124008,-25,0.023350351747952,-25,0.0172945704024888
0,0,2.36,-20,-0.0231104372505997,-20,0.000540988973059062,-20,-0.0122649856325493,-20,0.0182160524381986,-20,0.00583478924043486,-20,0.0185184185458834,-20,0.0210572685644249,-20,0.00271020914628023,-20,0.0106370196918839,-20,-0.020460241450432,-20,-0.01297618431858,-20,-0.0184987481928931,-20,-0.019084160404699,-20,-0.00347337143222003,-20,0.00325305973482821,-20,0.0298838171279285
0,0,2.36,-15,-0.0132841121353826,-15,0.0205481378077596,-15,0.00279102736108501,-15,0.0222414473747116,-15,0.0135941633219272,-15,0.0143463741439267,-15,0.0216656698249403,-15,-0.00146950730633227,-15,0.0119102771993741,-15,-0.0201419441921399,-15,-0.00615734568289946,-15,-0.0222874673852288,-15,-0.0139150978255448,-15,-0.0132387203426861,-15,-0.0211834401744597,-15,0.022130039328767
0,0,2.36,-9.99999999999999,0.0102787134559663,-9.99999999999999,0.0235278301914439,-9.99999999999999,0.016747952727781,-9.99999999999999,0.0151177241972639,-9.99999999999999,0.0186013199301465,-9.99999999999999,0.00729097091616685,-9.99999999999999,0.021303356876671,-9.99999999999999,-0.00545399020715345,-9.99999999999999,0.013558599934648,-9.99999999999999,-0.0192725933425709,-9.99999999999999,0.00248257335510809,-9.99999999999999,-0.0233140224879789,-9.99999999999999,-0.00381069075473148,-9.99999999999999,-0.0185771868236065,-9.99999999999999,-0.0306204569801239,-9.99999999999999,-0.00325466230106568
0,0,2.36,-4.99999999999999,0.0263194759969119,-4.99999999999999,0.00451051809259036,-4.99999999999999,0.0224855914024664,-4.99999999999999,0.000879065915383662,-4.99999999999999,0.0200624314216324,-4.99999999999999,-0.00104050462340379,-4.99999999999999,0.0202395893052847,-4.99999999999999,-0.00893522690636814,-4.99999999999999,0.0155063692913806,-4.99999999999999,-0.0178699501116567,-4.99999999999999,0.0115226788623033,-4.99999999999999,-0.0205774864411092,-4.99999999999999,0.00783360274850516,-4.99999999999999,-0.0170501911752401,-4.99999999999999,-0.015163879530284,-4.99999999999999,-0.0265781542297327
0,0,2.36,0,0.0189975036064573,0,-0.0200283250900475,0,0.0179351794345737,0,-0.0131933148500097,0,0.0180598945920279,0,-0.00898093892442778,0,0.0187203543967999,0,-0.0117866261586123,0,0.0176530036703984,0,-0.0159013588928157,0,0.0189984029752935,0,-0.0138803757398522,0,0.0165416365689432,0,-0.00871349782593075,0,0.0131385651037306,0,-0.0270292282335211
0,0,2.36,5.00000000000001,-0.00569183515793718,5.00000000000001,-0.0277096384627836,5.00000000000001,0.00622189545768523,5.00000000000001,-0.0210838050056719,5.00000000000001,0.0133382894370081,5.00000000000001,-0.0151559344487047,5.00000000000001,0.0169250683458037,5.00000000000001,-0.014077191478536,5.00000000000001,0.0198836777565122,5.00000000000001,-0.0131446552208603,5.00000000000001,0.02295163804849,5.00000000000001,-0.0042798583360984,5.00000000000001,0.0183701741955928,5.00000000000001,0.00355872142461377,5.00000000000001,0.0289565292889649,5.00000000000001,-0.00381221666075733
0,0,2.36,10,-0.0260460493318035,10,-0.0120314672884491,10,-0.00707470607772253,10,-0.020544326946065,10,0.00699015259558657,10,-0.0188099208226838,10,0.0150659169779269,10,-0.0158336981327876,10,0.021909394000588,10,-0.00940763839112215,10,0.0222044176405529,10,0.00614662115089941,10,0.01178940506715,10,0.0145715841254684,10,0.0182835959577673,10,0.0213169712602971
0,0,2.36,15,-0.0257511545667598,15,0.012975848417937,15,-0.0169622585199772,15,-0.0130333385701865,15,0.000169784735945431,15,-0.0198283097268419,15,0.0134274056509086,15,-0.0169440354316551,15,0.0232222616033794,15,-0.00483398052850426,15,0.0168083477641998,15,0.0150745284991392,15,-0.0006776470265738,15,0.0187289358931187,15,-0.00739356898954175,15,0.025621246624105
0,0,2.36,20,-0.00706151371380394,20,0.0276896889880532,20,-0.020820745099471,20,-0.00217319642899364,20,-0.00605345494970388,20,-0.0185090508968835,20,0.0122148224622993,20,-0.0173610148109792,20,0.0233239763943316,20,0.00015641353608655,20,0.00797762722989257,20,0.0205399732798641,20,-0.0127710478866179,20,0.0134257899246325,20,-0.023839642779437,20,0.00769024489623821
0,0,2.36,25,0.0146819883789597,25,0.0236178785447359,25,-0.0186691631968105,25,0.00815795343462942,25,-0.0108142751701706,25,-0.0154374100333327,25,0.0114105301838134,25,-0.0172254612133584,25,0.0219600280757789,25,0.00513100143715415,25,-0.00217583809829543,25,0.0212668981304297,25,-0.0179566946476711,25,0.00151012117847503,25,-0.0185980243512476,25,-0.0139182780839621
0,0,2.36,30,0.0256301324200186,30,0.00683856058113512,30,-0.0123681409738415,30,0.0152635699494709,30,-0.0136438423085628,30,-0.011476223020642,30,0.0108309483368432,30,-0.016674933316045,30,0.0191496342774406,30,0.00966182620320878,30,-0.0110441326205544,30,0.0171336986290806,30,-0.0139171013045378,30,-0.0101925407747686,30,-6.50943581323827E-05,30,-0.021248620051952
0,0,2.36,35,0.0224116527034918,35,-0.0104968211149726,35,-0.00447423190224674,35,0.0181417154850011,35,-0.0145840307509154,35,-0.00757801335547298,35,0.0102772554212277,35,-0.0156520670092991,35,0.0151602804430849,35,0.0131732460959663,35,-0.0163485152281455,35,0.00958780713536934,35,-0.00396972438993937,35,-0.0156630869593965,35,0.0148617933553958,35,-0.0122184949220833
0,0,2.36,40,0.0106832651753521,40,-0.0198499625319744,40,0.00270829034048397,40,0.0172095556474289,40,-0.0140614735731419,40,-0.00441746216794131,40,0.00960461229506347,40,-0.014024208359126,40,0.0105411033572289,40,0.0150500677437496,40,-0.0171609066643361,40,0.00125062088062275,40,0.00589221063398627,40,-0.0135051246758423,40,0.0169996661783877,40,0.00250276805528683
0,0,2.36,45,-0.0015886280699923,45,-0.019830445058272,45,0.00769241178328325,45,0.013704708591435,45,-0.0126172515593222,45,-0.00218051309658114,45,0.0087191369725657,45,-0.0118481368259469,45,0.00605834920449665,45,0.0150240205414385,45,-0.0142921783995843,45,-0.00533923748247581,45,0.0113075795277446,45,-0.00671919003149694,45,0.00907462429233096,45,0.0120566103554527
0,0,2.36,50,-0.0093659065054466,50,-0.0139321737923526,50,0.00999314905161337,50,0.00910180809064433,50,-0.0107060389502387,50,-0.000687231609851845,50,0.00758792452651816,50,-0.00943948936623256,50,0.00243136642832465,50,0.0134098031186058,50,-0.0096483355105282,50,-0.00888986857358573,50,0.0115441723992262,50,0.000412861383373853,50,-0.000972904014628766,50,0.0130682679522693
0,0,2.36,55,-0.0117201758810233,55,-0.00660304222953187,55,0.00997135885495696,55,0.00466480708158044,55,-0.00864467120590088,55,0.000328523995496393,55,0.00626078486266917,55,-0.00719463757038813,55,4.67872334075902E-05,55,0.0109339420595432,55,-0.00511145587532008,55,-0.00958295707834219,55,0.0085104954619197,55,0.00512162092599147,55,-0.00744809213142594,55,0.00848619798181432
0,0,2.36,60,-0.010280641924258,60,-0.000764219063004309,60,0.0084497213227914,60,0.00118664962972922,60,-0.00664282735958333,60,0.00103545858699022,60,0.00485499951993243,60,-0.00537740156517163,60,-0.00112246686702934,60,0.00834337812929006,60,-0.00178318496883469,60,-0.00845844861730059,60,0.00465175220609205,60,0.00687278853739932,60,-0.00920123768275063,60,0.00275091878979816
