"IWavePhi [deg]","Phase [deg]","Freq [GHz]","IWaveTheta [deg]","L1RE []","IWaveTheta [deg]","L1IM []","IWaveTheta [deg]","L2RE []","IWaveTheta [deg]","L2IM []","IWaveTheta [deg]","L3RE []","IWaveTheta [deg]","L3IM []","IWaveTheta [deg]","L4RE []","IWaveTheta [deg]","L4IM []","IWaveTheta [deg]","L5RE []","IWaveTheta [deg]","L5IM []","IWaveTheta [deg]","L6RE []","IWaveTheta [deg]","L6IM []","IWaveTheta [deg]","L7RE []","IWaveTheta [deg]","L7IM []","IWaveTheta [deg]","L8RE []","IWaveTheta [deg]","L8IM []"
0,0,2.5,-60,-0.000594547252605307,-60,0.00111035595382479,-60,0.00109618588219736,-60,0.000638835352469935,-60,0.000793920536303469,-60,-0.00106487093848147,-60,-0.00093303903377628,-60,-0.000792869622165787,-60,-0.000880786540778031,-60,0.00095028456365116,-60,0.00102385376288573,-60,0.00105633493602769,-60,0.00111123009556899,-60,-0.000763816961695171,-60,-0.000682937805748171,-60,-0.0010250041129909
0,0,2.5,-59.8,-0.00058024990075311,-59.8,0.00111773914133261,-59.8,0.00110204147056226,-59.8,0.000628315219020345,-59.8,0.000786821013607218,-59.8,-0.00107033368042785,-59.8,-0.00093565158862157,-59.8,-0.00078967828065269,-59.8,-0.000880291668102649,-59.8,0.000950749452247446,-59.8,0.00102116292092608,-59.8,0.00105847994391568,-59.8,0.00111517181762094,-59.8,-0.000758103211814523,-59.8,-0.000673874978615318,-59.8,-0.00103136852406713
0,0,2.5,-59.6,-0.000565788868276143,-59.6,0.00112497812510442,-59.6,0.00110782364740552,-59.6,0.000617691757056478,-59.6,0.000779655659290187,-59.6,-0.0010757724481148,-59.6,-0.000938260627976101,-59.6,-0.000786469932272299,-59.6,-0.000879806316902291,-59.6,0.000951205754592767,-59.6,0.00101842945975255,-59.6,0.00106064530482008,-59.6,0.0011191117167195,-59.6,-0.000752316819805642,-59.6,-0.000664692805986912,-59.6,-0.00103769863531986
0,0,2.5,-59.4,-0.000551165273395404,-59.4,0.00113206890894537,-59.4,0.00111353041819841,-59.4,0.000606965284223324,-59.4,0.000772424485299538,-59.4,-0.0010811863660691,-59.4,-0.000940865981613292,-59.4,-0.000783244614803585,-59.4,-0.000879330574241518,-59.4,0.000951653427610362,-59.4,0.00101565321421821,-59.4,0.001062830770307,-59.4,0.0011230487384783,-59.4,-0.000746457442279189,-59.4,-0.000655390931395525,-59.4,-0.00104399217357272
0,0,2.5,-59.2,-0.00053638034837271,-59.2,0.00113900751802208,-59.2,0.00111915978222209,-59.2,0.000596136183631447,-59.2,0.000765127410226642,-59.2,-0.00108657453360622,-59.2,-0.000943467573587341,-59.2,-0.000780002244733946,-59.2,-0.000878864403224385,-59.2,0.000952092500579559,-59.2,0.00101283391716764,-59.2,0.00106503613439571,-59.2,0.00112698195706333,-59.2,-0.000740524729191375,-59.2,-0.000645969081330464,-59.2,-0.00105024672105848
0,0,2.5,-59,-0.000521435398066705,-59,0.00114578999491785,-59,0.00112470978751128,-59,0.000585204876098016,-59,0.000757764463016473,-59,-0.00109193608022684,-59,-0.00094606518792686,-59,-0.000776742891769253,-59,-0.000878407902221399,-59,0.000952523033218901,-59,0.00100997135943472,-59,0.00106726109162866,-59,0.00113091029850654,-59,-0.000734518392446557,-59,-0.000636426886883197,-59,-0.00105645989074897
0,0,2.5,-58.8,-0.000506331766661884,-58.8,0.00115241233017148,-58.8,0.00113017833414156,-58.8,0.000574171799009242,-58.8,0.000750335609897012,-58.8,-0.00109727005849662,-58.8,-0.000948658725530312,-58.8,-0.000773466442877879,-58.8,-0.000877961066628117,-58.8,0.000952944989145452,-58.8,0.00100706532819122,-58.8,0.00106950546926157,-58.8,0.00113483273546587,-58.8,-0.000728438083063508,-58.8,-0.000626764126331589,-58.8,-0.00106262923172633
0,0,2.5,-58.6,-0.000491070947586204,-58.6,0.00115887051609632,-58.6,0.00113556351248726,-58.6,0.000563037437917828,-58.6,0.00074284086510466,-58.6,-0.00110257554376781,-58.6,-0.00095124806947162,-58.6,-0.000770172945760223,-58.6,-0.000877523914444673,-58.6,0.000953358359705194,-58.6,0.00100411554259382,-58.6,0.0010717689712389,-58.6,0.00113874826397645,-58.6,-0.000722283492314178,-58.6,-0.000616980536649391,-58.6,-0.00106875234714519
0,0,2.5,-58.4,-0.000475654493565765,-58.4,0.00116516057351587,-58.4,0.00114086321515981,-58.4,0.000551802289514468,-58.4,0.000735280226508156,-58.4,-0.00110785168244225,-58.4,-0.000953833075939121,-58.4,-0.000766862342674364,-58.4,-0.000877096545465835,-58.4,0.000953763193784698,-58.4,0.00100112185571055,-58.4,0.00107405140522778,-58.4,0.00114265578892873,-58.4,-0.000716054347687711,-58.4,-0.000607075972974588,-58.4,-0.00107482665297566
0,0,2.5,-58.2,-0.00046008403170433,-58.2,0.001171278472163,-58.2,0.00114607548455725,-58.2,0.000540466899236148,-58.2,0.000727653753666403,-58.2,-0.00111309749581168,-58.2,-0.000956413601722685,-58.2,-0.000763534633367384,-58.2,-0.000876678920139121,-58.2,0.000954159498745583,-58.2,0.000998084023069483,-58.2,0.00107635247913661,-58.2,0.00114655429808371,-58.2,-0.000709750368506115,-58.2,-0.000597050213476138,-58.2,-0.00108084971123456
0,0,2.5,-58,-0.000444361311092901,-58,0.00117722024652909,-58,0.00115119829747601,-58,0.000529031834244039,-58,0.000719961423015975,-58,-0.00111831207873809,-58,-0.00095898951092216,-58,-0.000760189828940934,-58,-0.000876271121220662,-58,0.00095454726586671,-58,0.000995001800997131,-58,0.00107867193405647,-58,0.00115044271507378,-58,-0.000703371186793214,-58,-0.000586903151291395,-58,-0.00108681897323897
0,0,2.5,-57.8,-0.000428488140528893,-57.8,0.00118298188126634,-57.8,0.00115622960382102,-57.8,0.00051749774301782,-57.8,0.000712203337665832,-57.8,-0.00112349452098214,-57.8,-0.000961560624502576,-57.8,-0.000756827887079528,-57.8,-0.000875873137466107,-57.8,0.00095492654175529,-57.8,0.000991874966771246,-57.8,0.00108100951954229,-57.8,0.00115431991064971,-57.8,-0.000696916625528935,-57.8,-0.000576634699377719,-57.8,-0.00109273194141708
0,0,2.5,-57.6,-0.000412466415942191,-57.6,0.00118855935965842,-57.6,0.00116116731984617,-57.6,0.000505865223807488,-57.6,0.000704379540894603,-57.6,-0.00112864389504727,-57.6,-0.000964126850622317,-57.6,-0.000753448776919754,-57.6,-0.000875485072386772,-57.6,0.000955297293493338,-57.6,0.000988703372295111,-57.6,0.00108336500659796,-57.6,0.00115818487149603,-57.6,-0.000690386355223512,-57.6,-0.000566244794923594,-57.6,-0.00109858596932896
0,0,2.5,-57.4,-0.000396298165374217,-57.4,0.00119394876421162,-57.4,0.0011660095301788,-57.4,0.000494135003280552,-57.4,0.00069649009282008,-57.4,-0.00113375921907607,-57.4,-0.000966688071547399,-57.4,-0.000750052576938174,-57.4,-0.000875106884503152,-57.4,0.000955659553007382,-57.4,0.000985486710245442,-57.4,0.0010857380946186,-57.4,0.00116203645720176,-57.4,-0.000683780118587893,-57.4,-0.000555733412797106,-57.4,-0.00110437852402033
0,0,2.5,-57.2,-0.000379985464771544,-57.2,0.00119914603777072,-57.2,0.00117075414175881,-57.2,0.000482307765838038,-57.2,0.00068853510275849,-57.2,-0.00113883957892979,-57.2,-0.00096924407443754,-57.2,-0.000746639163549236,-57.2,-0.000874738636985952,-57.2,0.000956013309928866,-57.2,0.000982224834243183,-57.2,0.00108812851053758,-57.2,0.00116587359241968,-57.2,-0.000677097695614516,-57.2,-0.000545100570215527,-57.2,-0.00111010695688486
0,0,2.5,-57,-0.000363530483477761,-57,0.00120414723302773,-57,0.00117539912357714,-57,0.000470384262566383,-57,0.000680514614045389,-57,-0.00114388406241029,-57,-0.000971794770537095,-57,-0.000743208589493266,-57,-0.000874380376143613,-57,0.000956358581600943,-57,0.000978917485010293,-57,0.00109053599175538,-57,0.00116969515963238,-57,-0.000670338797761636,-57,-0.000534346343684544,-57,-0.00111576869274266
0,0,2.5,-56.8,-0.000346935541433344,-56.8,0.00120894841601541,-56.8,0.00117994243983556,-56.8,0.000458365304173378,-56.8,0.000672428739794274,-56.8,-0.00114889168064226,-56.8,-0.000974340013431499,-56.8,-0.000739760833803395,-56.8,-0.000874032120662309,-56.8,0.000956695406708243,-56.8,0.000975564496708635,-56.8,0.00109296028925783,-56.8,0.0011734999895398,-56.8,-0.000663503259349688,-56.8,-0.000523470811078601,-56.8,-0.00112136102817505
0,0,2.5,-56.6,-0.00033020297405821,-56.6,0.00121354557407736,-56.6,0.00118438205818775,-56.6,0.000446251678725518,-56.6,0.000664277598390389,-56.6,-0.00115386149139478,-56.6,-0.000976879691546978,-56.6,-0.000736295882880623,-56.6,-0.000873693872225576,-56.6,0.000957023748033815,-56.6,0.00097216558655056,-56.6,0.0010954010971782,-56.6,0.00117728703753524,-56.6,-0.000656590806444628,-56.6,-0.000512474138934655,-56.6,-0.00112688131001804
0,0,2.5,-56.4,-0.000313335261114841,-56.4,0.00121793486522866,-56.4,0.00118871594771385,-56.4,0.00043404429474397,-56.4,0.000656061377910411,-56.4,-0.0011587925863432,-56.4,-0.000979413585942539,-56.4,-0.000732813706871932,-56.4,-0.000873365698452564,-56.4,0.000957343618356434,-56.4,0.00096872062375932,-56.4,0.00109785810738379,-56.4,0.00118105508326325,-56.4,-0.000649601236177794,-56.4,-0.000501356454504793,-56.4,-0.00113232682146883
0,0,2.5,-56.2,-0.000296334950758306,-56.2,0.00122211231037471,-56.2,0.00119294204993777,-56.2,0.000421744001417784,-56.2,0.000647780117342032,-56.2,-0.00116368392639581,-56.2,-0.000981941638614143,-56.2,-0.000729314320718739,-56.2,-0.000873047604997048,-56.2,0.000957655084628041,-56.2,0.000965229357022768,-56.2,0.00110033107254929,-56.2,0.00118480302143702,-56.2,-0.000642534373865011,-56.2,-0.000490118024151784,-56.2,-0.0011376948980606
0,0,2.5,-56,-0.000279204707491869,-56,0.00122607405207201,-56,0.00119705836409884,-56,0.000409351756059824,-56,0.000639434012778901,-56,-0.00116853462146595,-56,-0.000984463646244039,-56,-0.000725797741630833,-56,-0.00087273963131848,-56,0.000957958067200127,-56,0.000961691567525462,-56,0.00110281970320077,-56,0.00118852970241963,-56,-0.00063538997969801,-56,-0.000478759089444627,-56,-0.00114298282620056
0,0,2.5,-55.8,-0.000261947275426476,-55.8,0.00122981616238687,-55.8,0.00120106289009383,-55.8,0.000396868493304888,-55.8,0.000631023231989767,-55.8,-0.00117334370047452,-55.8,-0.000986979523875171,-55.8,-0.000722263919421102,-55.8,-0.000872441838705011,-55.8,0.000958252623148539,-55.8,0.000958107129999802,-55.8,0.00110532368609126,-55.8,0.00119223391858768,-55.8,-0.000628167936752073,-55.8,-0.000467279974735854,-55.8,-0.0011481877878194
