calibrationCount,snrDb,numSources,stratum,difficulty,bestBaselineName,v33Rmse,ardRmse,bestBaselineRmse,oracleRmse,deltaRmseV33MinusArd,deltaRmseV33MinusBestBaseline,deltaRmseV33MinusOracle,deltaResolvedV33MinusArd,deltaResolvedV33MinusBestBaseline,v33VsArdLabel,v33VsBestBaselineLabel
9,0,3,edge,hard,interp,5.040508222711,5.040508222711,3.1117290478751,3.7271445349834,0,1.9287791748359,1.3133636877276,0,-0.333333333333333,neutral,loss
5,0,3,edge,hard,proposed_v2,4.69915382513577,4.69915382513577,3.32617910590964,2.64240052036324,0,1.37297471922613,2.05675330477253,0,0,neutral,loss
5,10,3,edge,hard,interp,2.8348980237368,2.8348980237368,1.65873234092893,2.83728465871399,0,1.17616568280787,-0.00238663497719793,0,-0.333333333333333,neutral,loss
9,10,3,edge,hard,interp,2.95846947710465,2.95846947710465,2.03391623283536,1.73029282838395,0,0.92455324426929,1.22817664872069,0,-0.333333333333333,neutral,loss
9,10,3,center,hard,proposed_v1,1.88418080967483,1.88418080967483,1.00696425970807,1.88418080967483,0,0.877216549966759,0,0,-0.333333333333333,neutral,loss
9,0,2,center,medium,proposed_v2,0.66666666666667,0.66666666666667,0,0.66666666666667,0,0.66666666666667,0,0,-0.666666666666667,neutral,loss
9,0,2,edge,hard,proposed_v2,1.0471404520791,1.0471404520791,0.502368927062182,1.0471404520791,0,0.544771525016922,0,0,-0.666666666666667,neutral,loss
9,10,3,edge,medium,interp,2.17509505541103,1.86504313688238,1.64270546612025,2.7398296784046,0.310051918528649,0.532389589290776,-0.564734622993577,-0.333333333333333,-0.333333333333333,loss,loss
5,0,2,center,hard,proposed_v1,1.05409255338946,1.05409255338946,0.527046276694731,1.05409255338946,0,0.52704627669473,0,0,0,neutral,loss
9,10,2,edge,hard,ard,0.713807118745771,0.31380711874577,0.31380711874577,0.31380711874577,0.400000000000001,0.400000000000001,0.400000000000001,-0.333333333333333,-0.333333333333333,loss,loss
5,0,2,edge,hard,proposed_v2,2.23992434545669,2.23992434545669,1.86600840087011,1.71313270487493,0,0.373915944586579,0.526791640581763,0,-0.333333333333333,neutral,loss
9,0,3,edge,medium,interp,3.77215409780473,5.5283870342328,3.39903823140033,5.5283870342328,-1.75623293642807,0.373115866404393,-1.75623293642807,0.333333333333333,0,win,loss
9,0,3,center,medium,proposed_v1,0.826415732523871,0.826415732523871,0.465076656365697,1.31430871845522,0,0.361339076158174,-0.487892985931351,0,0,neutral,loss
5,0,3,edge,medium,proposed_v2,4.65073993518289,4.65073993518289,4.41206183635499,4.1566559244165,0,0.238678098827903,0.494084010766399,0,0,neutral,loss
5,10,2,center,medium,interp,0.235702260395518,0.235702260395518,0,0,0,0.235702260395518,0.235702260395518,0,-0.333333333333333,neutral,loss
5,10,2,edge,hard,interp,1.52440458315456,1.52440458315456,1.39283882771841,0.533333333333331,0,0.131565755436155,0.991071249821233,0,0.666666666666667,neutral,loss
5,0,1,edge,medium,proposed_v1,0.2,0.2,0.133333333333333,0.2,0,0.0666666666666676,0,0,0,neutral,loss
9,0,1,edge,medium,interp,0.0666666666666676,0.0666666666666676,0,0.0666666666666676,0,0.0666666666666676,0,0,0,neutral,loss
5,10,1,edge,medium,proposed_v2,0.0666666666666653,0.0666666666666653,0,0.0666666666666653,0,0.0666666666666653,0,0,0,neutral,loss
9,10,2,edge,medium,proposed_v2,0.28284271247462,0.28284271247462,0.235702260395516,0.28284271247462,0,0.0471404520791039,0,0,0,neutral,neutral
5,10,3,center,hard,interp,0.610685270816363,0.610685270816363,0.572195252870388,0.572195252870388,0,0.0384900179459751,0.0384900179459751,0,0,neutral,neutral
5,0,3,center,medium,interp,1.32894090257392,1.32894090257392,1.32512963971873,2.26850530431393,0,0.00381126285518807,-0.939564401740009,0,0,neutral,neutral
